date,deaths weekly change,+2 Sigma,-2 Sigma
2020-01-22,,,
2020-01-23,,,
2020-01-24,,,
2020-01-25,,,
2020-01-26,,,
2020-01-27,,,
2020-01-28,,,
2020-01-29,116.0,,
2020-01-30,153.0,,
2020-01-31,187.0,,
2020-02-01,217.0,,
2020-02-02,306.0,,
2020-02-03,344.0,,
2020-02-04,361.0,,
2020-02-05,431.0,,
2020-02-06,463.0,,
2020-02-07,506.0,,
2020-02-08,547.0,,
2020-02-09,544.0,,
2020-02-10,587.0,,
2020-02-11,621.0,,
2020-02-12,554.0,,
2020-02-13,737.0,,
2020-02-14,804.0,,
2020-02-15,860.0,,
2020-02-16,864.0,,
2020-02-17,855.0,,
2020-02-18,895.0,,
2020-02-19,1005.0,,
2020-02-20,877.0,,
2020-02-21,729.0,,
2020-02-22,793.0,,
2020-02-23,700.0,,
2020-02-24,762.0,726.0723582100054,363.0361791050027
2020-02-25,702.0,750.8972236353021,375.44861181765106
2020-02-26,648.0,773.9735417986178,386.9867708993089
2020-02-27,566.0,795.0632498710733,397.5316249355366
2020-02-28,621.0,809.4953769473758,404.7476884736879
2020-02-29,483.0,821.9676092318051,410.98380461590256
2020-03-01,526.0,826.8480204741003,413.42401023705014
2020-03-02,455.0,829.3360508431546,414.6680254215773
2020-03-03,450.0,830.2690710516674,415.1345355258337
2020-03-04,484.0,831.7452691432542,415.8726345716271
2020-03-05,534.0,834.1202803842118,417.0601401921059
2020-03-06,588.0,838.2505643363008,419.1252821681504
2020-03-07,623.0,844.7342355696992,422.3671177848496
2020-03-08,809.0,855.8079735029457,427.90398675147287
2020-03-09,910.0,871.9754405750571,435.98772028752853
2020-03-10,1111.0,896.0169600244487,448.00848001222437
2020-03-11,1361.0,934.5044777377007,467.2522388688503
2020-03-12,1578.0,980.7051252049852,490.3525626024926
2020-03-13,1956.0,1038.4343939615608,519.2171969807804
2020-03-14,2273.0,1105.0696204486478,552.5348102243239
2020-03-15,2677.0,1189.4570828770707,594.7285414385353
2020-03-16,3181.0,1295.070471682787,647.5352358413935
2020-03-17,3716.0,1426.1030667988834,713.0515333994417
2020-03-18,4291.0,1593.0648677812917,796.5324338906458
2020-03-19,5094.0,1795.015904942211,897.5079524711055
2020-03-20,6100.0,2050.0312813938067,1025.0156406969033
2020-03-21,7407.0,2362.355393968414,1181.177696984207
2020-03-22,8449.0,2735.9455935504457,1367.9727967752228
2020-03-23,9712.0,3170.8093095647882,1585.4046547823941
2020-03-24,11211.0,3672.0057626223384,1836.0028813111692
2020-03-25,13118.0,4252.2154774393775,2126.1077387196888
2020-03-26,15047.0,4917.057439872972,2458.528719936486
2020-03-27,17038.0,5686.179863544801,2843.0899317724006
2020-03-28,19104.0,6566.74878168338,3283.37439084169
2020-03-29,20923.0,7540.340497184535,3770.1702485922674
2020-03-30,23056.0,8594.292430872532,4297.146215436266
2020-03-31,25488.0,9733.977090804792,4866.988545402396
2020-04-01,28672.0,11004.407236528985,5502.203618264492
2020-04-02,31539.0,12418.058916274991,6209.029458137496
2020-04-03,34203.0,13980.836591752051,6990.418295876026
2020-04-04,36391.0,15677.003416237392,7838.501708118696
2020-04-05,38140.0,17431.214827144147,8715.607413572074
2020-04-06,39994.0,19201.507716207212,9600.753858103606
2020-04-07,43557.0,21031.38090699178,10515.69045349589
2020-04-08,44371.0,22926.91247950047,11463.456239750236
2020-04-09,46336.0,24921.145860978464,12460.572930489232
2020-04-10,47604.0,27012.625025406483,13506.312512703242
2020-04-11,47904.0,29150.023682243365,14575.011841121683
2020-04-12,48596.0,31230.843051725584,15615.421525862792
2020-04-13,48675.0,33177.55693618544,16588.77846809272
2020-04-14,47453.0,35049.37027284915,17524.685136424574
2020-04-15,49178.0,36903.78854968762,18451.89427484381
2020-04-16,48730.0,38788.80262362742,19394.40131181371
2020-04-17,49825.0,40759.04228543811,20379.521142719055
2020-04-18,49743.0,42735.015975397495,21367.507987698747
2020-04-19,49154.0,44612.771100059035,22306.385550029518
2020-04-20,49181.0,46315.02390865579,23157.511954327896
2020-04-21,49475.0,47844.05585156827,23922.027925784136
2020-04-22,47972.0,49254.27872731768,24627.13936365884
2020-04-23,47550.0,50571.47447797349,25285.737238986745
2020-04-24,45963.0,51860.605168545146,25930.302584272573
2020-04-25,45639.0,53070.043259329665,26535.021629664832
2020-04-26,44543.0,54101.89462826182,27050.94731413091
2020-04-27,43443.0,54901.42422306262,27450.71211153131
2020-04-28,42878.0,55528.606180532195,27764.303090266098
2020-04-29,42786.0,56007.51326434881,28003.756632174405
2020-04-30,41829.0,56364.81133063395,28182.405665316976
2020-05-01,40375.0,56617.72415089181,28308.862075445904
2020-05-02,40335.0,56787.43805506808,28393.71902753404
2020-05-03,39929.0,56822.62244943525,28411.311224717625
2020-05-04,39554.0,56690.59361400319,28345.296807001596
2020-05-05,38858.0,56407.73387192381,28203.866935961905
2020-05-06,38780.0,56075.50021672629,28037.750108363143
2020-05-07,38426.0,55689.032480503396,27844.516240251698
2020-05-08,38862.0,55257.25665462939,27628.628327314695
2020-05-09,37629.0,54812.79168488017,27406.395842440084
2020-05-10,37796.0,54346.24011736836,27173.12005868418
2020-05-11,37141.0,53846.97362754621,26923.486813773106
2020-05-12,36907.0,53299.14972955673,26649.574864778366
2020-05-13,35513.0,52722.73283995798,26361.36641997899
2020-05-14,35388.0,52111.667340712636,26055.833670356318
2020-05-15,35114.0,51451.0200547793,25725.51002738965
2020-05-16,35068.0,50775.71974357118,25387.85987178559
2020-05-17,34619.0,50103.28636949647,25051.643184748234
2020-05-18,34857.0,49436.99652343647,24718.498261718236
2020-05-19,34106.0,48810.8746600538,24405.4373300269
2020-05-20,33818.0,48196.203155634284,24098.101577817142
2020-05-21,33331.0,47604.32568429799,23802.162842148995
2020-05-22,33373.0,47024.13476231123,23512.067381155615
2020-05-23,33120.0,46467.41952073933,23233.709760369664
2020-05-24,33026.0,45966.08395001321,22983.041975006607
2020-05-25,30481.0,45465.13021153886,22732.56510576943
2020-05-26,30014.0,44930.07372882222,22465.03686441111
2020-05-27,30212.0,44365.09466224845,22182.547331124224
2020-05-28,30142.0,43792.989890971985,21896.494945485993
2020-05-29,29619.0,43279.70564599328,21639.85282299664
2020-05-30,29700.0,42819.859965774216,21409.929982887108
2020-05-31,29380.0,42467.80692046245,21233.903460231224
2020-06-01,31271.0,42168.33802515889,21084.169012579445
2020-06-02,31810.0,41886.46089222568,20943.23044611284
2020-06-03,32257.0,41595.34111710066,20797.67055855033
2020-06-04,32673.0,41314.687951280095,20657.343975640048
2020-06-05,32580.0,41062.931089919504,20531.465544959752
2020-06-06,32413.0,40831.815009687714,20415.907504843857
2020-06-07,32441.0,40621.70725689095,20310.853628445475
2020-06-08,33103.0,40451.67816787512,20225.83908393756
2020-06-09,33101.0,40306.13846893322,20153.06923446661
2020-06-10,32735.0,40180.75288616897,20090.376443084486
2020-06-11,32373.0,40077.158490080685,20038.579245040342
2020-06-12,32118.0,39962.22328854987,19981.111644274933
2020-06-13,32362.0,39849.49928798482,19924.74964399241
2020-06-14,32818.0,39734.217244149804,19867.108622074902
2020-06-15,32489.0,39636.80988150593,19818.404940752964
2020-06-16,34412.0,39622.17792902253,19811.088964511266
2020-06-17,34497.0,39700.18935387652,19850.09467693826
2020-06-18,34745.0,39844.50701314459,19922.253506572295
2020-06-19,36319.0,40024.16603107484,20012.08301553742
2020-06-20,36374.0,40210.17828161864,20105.08914080932
2020-06-21,37330.0,40407.56706701377,20203.783533506885
2020-06-22,37233.0,40614.91776191987,20307.458880959934
2020-06-23,35682.0,40886.93973477678,20443.46986738839
2020-06-24,35662.0,41184.505424740135,20592.252712370067
2020-06-25,35394.0,41454.29478779912,20727.14739389956
2020-06-26,34094.0,41665.984364423995,20832.992182211998
2020-06-27,34370.0,41801.086881290204,20900.543440645102
2020-06-28,33284.0,41870.42307793441,20935.211538967204
2020-06-29,33565.0,41933.18077890823,20966.590389454115
2020-06-30,33200.0,42007.411954316995,21003.705977158497
2020-07-01,32978.0,42064.9789300844,21032.4894650422
2020-07-02,33369.0,42099.31036256244,21049.65518128122
2020-07-03,33596.0,42110.6115177619,21055.30575888095
2020-07-04,33614.0,42125.68776815883,21062.843884079415
2020-07-05,33948.0,42164.526531743075,21082.263265871537
2020-07-06,34092.0,42235.77816242185,21117.889081210924
2020-07-07,35223.0,42369.36030338581,21184.680151692904
2020-07-08,35571.0,42522.88651640085,21261.443258200426
2020-07-09,35940.0,42689.24314757074,21344.62157378537
2020-07-10,36276.0,42868.07041858282,21434.03520929141
2020-07-11,36700.0,43064.34622003191,21532.173110015956
2020-07-12,37136.0,43280.05515923118,21640.02757961559
2020-07-13,37290.0,43484.20646720107,21742.103233600534
2020-07-14,36955.0,43635.159797670705,21817.579898835353
2020-07-15,37146.0,43722.22542310671,21861.112711553356
2020-07-16,37522.0,43781.80532236191,21890.902661180957
2020-07-17,38922.0,43844.574106115884,21922.287053057942
2020-07-18,40257.0,43981.294167895125,21990.647083947562
2020-07-19,40867.0,44182.33311976165,22091.166559880825
2020-07-20,40366.0,44440.010352839294,22220.005176419647
2020-07-21,40761.0,44694.79051428343,22347.395257141714
2020-07-22,42261.0,44963.21764158279,22481.608820791396
2020-07-23,42701.0,45264.05076431177,22632.025382155884
2020-07-24,42114.0,45591.39210639919,22795.696053199594
2020-07-25,41694.0,45987.32442637527,22993.662213187636
2020-07-26,41128.0,46412.624656163964,23206.312328081982
2020-07-27,42543.0,46827.451518783215,23413.725759391607
2020-07-28,42867.0,47216.83811800044,23608.41905900022
2020-07-29,42519.0,47611.775696975295,23805.887848487648
2020-07-30,42539.0,48016.206480531124,24008.103240265562
2020-07-31,42663.0,48431.28206801466,24215.64103400733
2020-08-01,42627.0,48859.57111322131,24429.785556610655
2020-08-02,42959.0,49266.48034220138,24633.24017110069
2020-08-03,42507.0,49626.63719929238,24813.31859964619
2020-08-04,42780.0,49932.87833196576,24966.43916598288
2020-08-05,43259.0,50238.569077690234,25119.284538845117
2020-08-06,43507.0,50548.46440468944,25274.23220234472
2020-08-07,43623.0,50869.86039803852,25434.93019901926
2020-08-08,43577.0,51205.16275777553,25602.581378887764
2020-08-09,44042.0,51543.30766314099,25771.653831570497
2020-08-10,44665.0,51871.59021778423,25935.795108892115
2020-08-11,44278.0,52155.89099652663,26077.945498263314
2020-08-12,43735.0,52432.938714964395,26216.469357482198
2020-08-13,43681.0,52699.2340909509,26349.61704547545
2020-08-14,43649.0,52918.9908505017,26459.49542525085
2020-08-15,43541.0,53059.71618086583,26529.858090432914
2020-08-16,43239.0,53123.31792440139,26561.658962200694
2020-08-17,42359.0,53149.73778206217,26574.868891031085
2020-08-18,42818.0,53164.31642231608,26582.15821115804
2020-08-19,42978.0,53186.933005668,26593.466502834
2020-08-20,42548.0,53231.22024913151,26615.610124565756
2020-08-21,41611.0,53255.866991515926,26627.933495757963
2020-08-22,41455.0,53231.82687753776,26615.91343876888
2020-08-23,41034.0,53162.09344827039,26581.046724135194
2020-08-24,41224.0,53057.33716592571,26528.668582962855
2020-08-25,40789.0,52959.8717993956,26479.9358996978
2020-08-26,40243.0,52867.064810442775,26433.532405221387
2020-08-27,40055.0,52779.882838977624,26389.941419488812
2020-08-28,40188.0,52669.80207541308,26334.90103770654
2020-08-29,40009.0,52534.28163370207,26267.140816851035
2020-08-30,40028.0,52396.36148547696,26198.18074273848
2020-08-31,39694.0,52251.20089637271,26125.600448186357
2020-09-01,39691.0,52114.611249096044,26057.305624548022
2020-09-02,39424.0,51960.26613657627,25980.133068288134
2020-09-03,39276.0,51784.472821574534,25892.236410787267
2020-09-04,39301.0,51576.651930806656,25788.325965403328
2020-09-05,38829.0,51334.41593060693,25667.207965303463
2020-09-06,38548.0,51066.58283740884,25533.29141870442
2020-09-07,43761.0,50954.42541960706,25477.21270980353
2020-09-08,42239.0,50943.302338389985,25471.651169194993
2020-09-09,42180.0,50977.03601261742,25488.51800630871
2020-09-10,42129.0,51007.24440945128,25503.62220472564
2020-09-11,42271.0,50995.17306148984,25497.58653074492
2020-09-12,42177.0,50890.58194025794,25445.29097012897
2020-09-13,42029.0,50628.76388937341,25314.381944686706
2020-09-14,36963.0,50412.04125973229,25206.020629866143
2020-09-15,38459.0,50219.73899945059,25109.869499725293
2020-09-16,38134.0,50028.69480099909,25014.347400499544
2020-09-17,37713.0,49829.01787024399,24914.508935121994
2020-09-18,37502.0,49649.26605161584,24824.63302580792
2020-09-19,37834.0,49481.10449666495,24740.552248332475
2020-09-20,37819.0,49313.59302716954,24656.79651358477
2020-09-21,37629.0,49170.49463489299,24585.247317446494
2020-09-22,37222.0,49058.300810490226,24529.150405245113
2020-09-23,36934.0,48929.865973061045,24464.932986530523
2020-09-24,37914.0,48799.903508886804,24399.951754443402
2020-09-25,38040.0,48698.26102360182,24349.13051180091
2020-09-26,38215.0,48626.409315293386,24313.204657646693
2020-09-27,38082.0,48567.211002789394,24283.605501394697
2020-09-28,37766.0,48516.00897808122,24258.00448904061
2020-09-29,37633.0,48454.89761498089,24227.448807490444
2020-09-30,38544.0,48370.79656321693,24185.398281608464
2020-10-01,40772.0,48392.032476612505,24196.016238306252
2020-10-02,39868.0,48465.074380832266,24232.537190416133
2020-10-03,39751.0,48587.0577735509,24293.52888677545
2020-10-04,39941.0,48724.48879060112,24362.24439530056
2020-10-05,42918.0,48757.37950590043,24378.689752950217
2020-10-06,42704.0,48694.723398699374,24347.361699349687
2020-10-07,42076.0,48530.23300916813,24265.116504584064
2020-10-08,39633.0,48401.28076859909,24200.640384299546
2020-10-09,40804.0,48303.85407589106,24151.92703794553
2020-10-10,40273.0,48259.82574195503,24129.912870977514
2020-10-11,40375.0,48298.298769941386,24149.149384970693
2020-10-12,37446.0,48303.30463943,24151.652319715
2020-10-13,36972.0,48261.01195406467,24130.505977032335
2020-10-14,37263.0,48179.87270266578,24089.93635133289
2020-10-15,36985.0,48104.394852525125,24052.197426262563
2020-10-16,37098.0,48068.16784627303,24034.083923136513
2020-10-17,37861.0,48075.89852063257,24037.949260316283
2020-10-18,37388.0,48122.44066700804,24061.22033350402
2020-10-19,38220.0,48214.387008325415,24107.193504162708
2020-10-20,39484.0,48303.9690822182,24151.9845411091
2020-10-21,40098.0,48419.71494261074,24209.85747130537
2020-10-22,39957.0,48524.79248884465,24262.396244422325
2020-10-23,40715.0,48657.73083381433,24328.865416907163
2020-10-24,40935.0,48810.93285244452,24405.46642622226
2020-10-25,41539.0,48956.80308510106,24478.40154255053
2020-10-26,42241.0,49131.092267992724,24565.546133996362
2020-10-27,43044.0,49353.21020039885,24676.605100199424
2020-10-28,43450.0,49640.93398537121,24820.466992685604
2020-10-29,44673.0,49845.33039487543,24922.665197437716
2020-10-30,45210.0,50069.94270715546,25034.97135357773
2020-10-31,46012.0,50312.9477609952,25156.4738804976
2020-11-01,46864.0,50556.43860618076,25278.21930309038
2020-11-02,47468.0,50770.10088219087,25385.050441095435
2020-11-03,49453.0,51085.3859947718,25542.6929973859
2020-11-04,52389.0,51607.16366800924,25803.58183400462
2020-11-05,53325.0,52197.41035054151,26098.705175270756
2020-11-06,55456.0,52930.69259352683,26465.346296763415
2020-11-07,56448.0,53786.508481575744,26893.254240787872
2020-11-08,57369.0,54706.874131313474,27353.437065656737
2020-11-09,58408.0,55571.60090900171,27785.800454500855
2020-11-10,59007.0,56461.69661966224,28230.84830983112
2020-11-11,59367.0,57472.169059416796,28736.084529708398
2020-11-12,61040.0,58553.93679521036,29276.96839760518
2020-11-13,60927.0,59701.06253979165,29850.531269895826
2020-11-14,62448.0,60890.58495904365,30445.292479521824
2020-11-15,62999.0,62038.67776304782,31019.33888152391
2020-11-16,63670.0,63100.15105464149,31550.075527320743
2020-11-17,64732.0,64145.92473278911,32072.962366394557
2020-11-18,65644.0,65244.18913969601,32622.094569848006
2020-11-19,66983.0,66447.85913620221,33223.929568101106
