date,deaths weekly change,+2 Sigma,-2 Sigma
2020-11-20,69166.0,67758.20068647525,33879.100343237624
2020-11-21,68964.0,69116.36902047328,34558.18451023664
2020-11-22,69790.0,70452.67246873706,35226.33623436853
2020-11-23,70376.0,71685.81751758214,35842.90875879107
2020-11-24,72012.0,72871.2858775125,36435.64293875625
2020-11-25,72736.0,74059.47162372712,37029.73581186356
2020-11-26,72580.0,75280.57036258314,37640.28518129157
2020-11-27,72165.0,76556.90064082017,38278.450320410084
2020-11-28,72458.0,77817.68986165717,38908.844930828585
2020-11-29,72375.0,78990.01849754376,39495.00924877188
2020-11-30,72775.0,80002.88588430305,40001.44294215152
2020-12-01,72786.0,80915.69665491182,40457.84832745591
2020-12-02,73315.0,81773.18056599631,40886.59028299816
2020-12-03,74872.0,82665.43861244583,41332.71930622291
2020-12-04,75988.0,83609.09489112436,41804.54744556218
2020-12-05,77002.0,84578.92464300677,42289.462321503386
2020-12-06,77301.0,85503.30583609857,42751.65291804929
2020-12-07,77123.0,86331.21034963371,43165.605174816854
2020-12-08,76722.0,87072.07897793109,43536.03948896554
2020-12-09,76710.0,87710.22953258456,43855.11476629228
2020-12-10,76864.0,88351.06881966439,44175.534409832195
2020-12-11,77446.0,89059.40141370063,44529.700706850315
2020-12-12,77792.0,89810.10358389256,44905.05179194628
2020-12-13,77904.0,90547.28073671475,45273.64036835737
2020-12-14,78259.0,91212.96641301701,45606.48320650851
2020-12-15,79812.0,91834.74361963768,45917.37180981884
2020-12-16,80932.0,92419.51055970858,46209.75527985429
2020-12-17,81704.0,93006.69904159303,46503.34952079652
2020-12-18,81526.0,93617.75217785338,46808.87608892669
2020-12-19,81794.0,94245.75947750457,47122.879738752286
2020-12-20,82087.0,94826.59686446973,47413.298432234864
2020-12-21,82622.0,95309.28284346047,47654.64142173024
2020-12-22,83004.0,95729.73203873176,47864.86601936588
2020-12-23,83096.0,96130.26252310189,48065.131261550945
2020-12-24,81418.0,96526.14222726932,48263.07111363466
2020-12-25,77142.0,96779.90964382925,48389.95482191462
2020-12-26,73729.0,96873.10816709898,48436.55408354949
2020-12-27,73410.0,96826.27660525194,48413.13830262597
2020-12-28,73497.0,96683.05287042032,48341.52643521016
2020-12-29,74363.0,96598.61306178356,48299.30653089178
2020-12-30,75877.0,96739.2265164155,48369.61325820775
2020-12-31,77580.0,97114.86289892103,48557.43144946051
2021-01-01,78978.0,97484.15195210364,48742.07597605182
2021-01-02,79635.0,97691.99306570797,48845.996532853984
2021-01-03,79526.0,97728.84370274609,48864.421851373045
2021-01-04,79982.0,97623.74298286483,48811.871491432415
2021-01-05,80335.0,97565.29026320063,48782.645131600315
2021-01-06,80022.0,97737.18544998368,48868.59272499184
2021-01-07,81686.0,98208.16015353416,49104.08007676708
2021-01-08,86816.0,98867.06514486021,49433.53257243011
2021-01-09,91672.0,99603.6953644145,49801.84768220725
2021-01-10,92739.0,100305.67175770889,50152.83587885444
2021-01-11,92883.0,100912.08004681,50456.040023405
2021-01-12,94595.0,101507.2205150813,50753.61025754065
2021-01-13,96381.0,102140.26299976077,51070.13149988039
2021-01-14,96901.0,102821.0017104422,51410.5008552211
2021-01-15,96889.0,103544.48353810285,51772.24176905143
2021-01-16,97456.0,104330.37427071009,52165.187135355045
2021-01-17,97793.0,105087.61895623666,52543.80947811833
2021-01-18,97205.0,105702.81296934975,52851.40648467487
2021-01-19,96951.0,106240.143657105,53120.0718285525
2021-01-20,98067.0,106825.43650992269,53412.71825496134
2021-01-21,99575.0,107576.20272080333,53788.10136040166
2021-01-22,100603.0,108628.90810752919,54314.454053764595
2021-01-23,100796.0,110022.59868207063,55011.299341035316
2021-01-24,100991.0,111574.81905559204,55787.40952779602
2021-01-25,102463.0,113063.83758119801,56531.918790599004
2021-01-26,103057.0,114333.47243150022,57166.73621575011
2021-01-27,102227.0,115292.27600995742,57646.13800497871
2021-01-28,102228.0,116046.58093161737,58023.290465808685
2021-01-29,101541.0,116841.95809162743,58420.979045813714
2021-01-30,101299.0,117851.47518783083,58925.737593915415
2021-01-31,100763.0,118948.41347570623,59474.206737853114
2021-02-01,100235.0,120005.24868585622,60002.62434292811
2021-02-02,97964.0,120877.17969313634,60438.58984656817
2021-02-03,96887.0,121457.86702742153,60728.93351371076
2021-02-04,92586.0,121667.83070304748,60833.91535152374
2021-02-05,94249.0,121717.93642558486,60858.96821279243
2021-02-06,91137.0,121663.75850411346,60831.87925205673
2021-02-07,90731.0,121543.6683361593,60771.83416807965
2021-02-08,89041.0,121355.9316397329,60677.96581986645
2021-02-09,89773.0,121084.73507778106,60542.36753889053
2021-02-10,87622.0,120729.34070469218,60364.67035234609
2021-02-11,88482.0,120222.78722404841,60111.39361202421
2021-02-12,84464.0,119682.38719132441,59841.193595662204
2021-02-13,84365.0,119031.94930953332,59515.97465476666
2021-02-14,82768.0,118319.83016659782,59159.91508329891
2021-02-15,81215.0,117569.40891519781,58784.704457598906
2021-02-16,76774.0,116726.19021803336,58363.09510901668
2021-02-17,74728.0,115664.98403694328,57832.49201847164
2021-02-18,72821.0,114387.27893468438,57193.63946734219
2021-02-19,71400.0,112966.35061916886,56483.17530958443
2021-02-20,69927.0,111423.15279239825,55711.576396199125
2021-02-21,69706.0,109891.19293052191,54945.596465260955
2021-02-22,69708.0,108489.00398318132,54244.50199159066
2021-02-23,69843.0,107153.46927008926,53576.73463504463
2021-02-24,70396.0,105821.18055893353,52910.59027946676
2021-02-25,69220.0,104386.38059992313,52193.19029996156
2021-02-26,68210.0,102863.20729335774,51431.60364667887
2021-02-27,67976.0,101245.52954216863,50622.764771084316
2021-02-28,67738.0,99685.52624776552,49842.76312388276
2021-03-01,68173.0,98286.67020073204,49143.33510036602
2021-03-02,66825.0,96990.97004218264,48495.48502109132
2021-03-03,66138.0,95795.16332222393,47897.581661111966
2021-03-04,65773.0,94660.70886960802,47330.35443480401
2021-03-05,65751.0,93449.71199900714,46724.85599950357
2021-03-06,65208.0,92191.19019481438,46095.59509740719
2021-03-07,64912.0,90976.98267987525,45488.491339937624
2021-03-08,64211.0,89906.02366246577,44953.011831232885
2021-03-09,64504.0,88864.95167797734,44432.47583898867
2021-03-10,62820.0,87811.21556612778,43905.60778306389
2021-03-11,62764.0,86790.05163366698,43395.02581683349
2021-03-12,62167.0,85702.66057229818,42851.33028614909
2021-03-13,62542.0,84625.63319413233,42312.816597066165
2021-03-14,62658.0,83661.51577757309,41830.757888786546
2021-03-15,62960.0,82958.79515713603,41479.397578568016
2021-03-16,62862.0,82461.72775255445,41230.863876277224
2021-03-17,63106.0,82104.8110867669,41052.40554338345
2021-03-18,63904.0,81827.69874861753,40913.84937430877
2021-03-19,64863.0,81567.80220357317,40783.901101786585
2021-03-20,65101.0,81311.7840840147,40655.89204200735
2021-03-21,67280.0,81134.2097941496,40567.1048970748
2021-03-22,67844.0,81085.23255274167,40542.616276370834
2021-03-23,68805.0,81145.34829243972,40572.67414621986
2021-03-24,68911.0,81182.92728115979,40591.463640579896
2021-03-25,69577.0,81213.77423705717,40606.88711852858
2021-03-26,71394.0,81283.03786242423,40641.518931212115
2021-03-27,72837.0,81395.8828038621,40697.94140193105
2021-03-28,71987.0,81602.31698017423,40801.15849008712
2021-03-29,72430.0,81912.98456125637,40956.49228062818
2021-03-30,73017.0,82335.43723819604,41167.71861909802
2021-03-31,75415.0,82738.13172789171,41369.065863945856
2021-04-01,76149.0,83137.98213725597,41568.99106862798
2021-04-02,73973.0,83513.94602806147,41756.97301403074
2021-04-03,72967.0,83878.45832963796,41939.22916481898
2021-04-04,73113.0,84247.34552761388,42123.67276380694
2021-04-05,72353.0,84575.58292243523,42287.79146121762
2021-04-06,72866.0,84915.83428969646,42457.91714484823
2021-04-07,75382.0,85410.51034425334,42705.25517212667
2021-04-08,77797.0,86167.76033084534,43083.88016542267
2021-04-09,80989.0,87129.71565284378,43564.85782642189
2021-04-10,84706.0,88272.32681339692,44136.16340669846
2021-04-11,86746.0,89540.40839025125,44770.204195125625
2021-04-12,88913.0,90788.37389657057,45394.186948285285
2021-04-13,90136.0,91916.48400133473,45958.242000667364
2021-04-14,88902.0,92980.96105124037,46490.48052562019
2021-04-15,87743.0,93988.68541700517,46994.34270850258
2021-04-16,87101.0,94920.31329308948,47460.15664654474
2021-04-17,86808.0,95855.05765177203,47927.52882588602
2021-04-18,86512.0,96742.40743071624,48371.20371535812
2021-04-19,87533.0,97568.51165148373,48784.255825741864
2021-04-20,88011.0,98352.45425787238,49176.22712893619
2021-04-21,88861.0,99204.0515920821,49602.02579604105
2021-04-22,89090.0,100090.6565075071,50045.32825375355
2021-04-23,91030.0,100968.89738230962,50484.44869115481
2021-04-24,91727.0,101893.35692074981,50946.678460374904
2021-04-25,93123.0,102813.82741485792,51406.91370742896
2021-04-26,93869.0,103726.66615986868,51863.33307993434
2021-04-27,94536.0,104615.5702025456,52307.7851012728
2021-04-28,95619.0,105552.48914744282,52776.24457372141
2021-04-29,97479.0,106520.99826249924,53260.49913124962
2021-04-30,96303.0,107498.91723899587,53749.458619497935
2021-05-01,96327.0,108514.30923570362,54257.15461785181
2021-05-02,95921.0,109541.90792184277,54770.95396092138
2021-05-03,96045.0,110604.73942738619,55302.36971369309
2021-05-04,95114.0,111620.94310991767,55810.471554958836
2021-05-05,93982.0,112455.31600631443,56227.658003157216
2021-05-06,92862.0,113044.46131610774,56522.23065805387
2021-05-07,93246.0,113406.1755736849,56703.08778684245
2021-05-08,93270.0,113611.43098112184,56805.71549056092
2021-05-09,93498.0,113708.76591477593,56854.38295738796
2021-05-10,92829.0,113831.44190443761,56915.720952218806
2021-05-11,93020.0,114020.69258741038,57010.34629370519
2021-05-12,91977.0,114215.66311852305,57107.831559261525
2021-05-13,91035.0,114372.05285340361,57186.02642670181
2021-05-14,89695.0,114470.8330464688,57235.4165232344
2021-05-15,88607.0,114496.05507990973,57248.02753995486
2021-05-16,88397.0,114498.18644448297,57249.093222241485
2021-05-17,88468.0,114517.60556291617,57258.802781458086
2021-05-18,88432.0,114561.09778347025,57280.548891735125
2021-05-19,88157.0,114565.06247900856,57282.53123950428
2021-05-20,87519.0,114510.28539576312,57255.14269788156
2021-05-21,87469.0,114334.37442985506,57167.18721492753
2021-05-22,86786.0,114012.95994249,57006.479971245
2021-05-23,86288.0,113611.62888967144,56805.81444483572
2021-05-24,84188.0,113130.63169614629,56565.31584807314
2021-05-25,83201.0,112611.23035487023,56305.61517743512
2021-05-26,82373.0,112007.62784751598,56003.81392375799
2021-05-27,82331.0,111338.97977222245,55669.48988611122
2021-05-28,81287.0,110612.4789433174,55306.2394716587
2021-05-29,80508.0,109835.50459591227,54917.75229795613
2021-05-30,79051.0,109075.7470776027,54537.87353880135
2021-05-31,78683.0,108305.93159733618,54152.96579866809
2021-06-01,80804.0,107684.39064782523,53842.195323912616
2021-06-02,79888.0,107122.79609019675,53561.39804509837
2021-06-03,76788.0,106493.66486026741,53246.832430133705
2021-06-04,75784.0,105770.83993708927,52885.41996854464
2021-06-05,74206.0,104906.13348669419,52453.066743347095
2021-06-06,73130.0,103918.81959048759,51959.409795243795
2021-06-07,72495.0,102778.29478001285,51389.14739000642
2021-06-08,67545.0,101649.70475132577,50824.852375662886
2021-06-09,66190.0,100570.3886806868,50285.1943403434
2021-06-10,72285.0,99710.69032391545,49855.345161957724
2021-06-11,73246.0,99070.66692881251,49535.333464406256
2021-06-12,73847.0,98555.7657793828,49277.8828896914
2021-06-13,75894.0,98158.11527386909,49079.05763693454
2021-06-14,75703.0,97788.21454346276,48894.10727173138
2021-06-15,75893.0,97290.63889179127,48645.319445895635
2021-06-16,75751.0,96528.06180128829,48264.030900644146
2021-06-17,69009.0,95628.09132154517,47814.04566077259
2021-06-18,66303.0,94622.98742979209,47311.493714896045
2021-06-19,64596.0,93526.47104683542,46763.23552341771
2021-06-20,61975.0,92434.26074906143,46217.130374530716
2021-06-21,61159.0,91398.613295257,45699.3066476285
2021-06-22,59568.0,90376.6951937722,45188.3475968861
2021-06-23,58755.0,89380.80947886252,44690.40473943126
2021-06-24,58107.0,88356.54759066555,44178.273795332774
2021-06-25,58097.0,87314.15275463345,43657.07637731673
2021-06-26,57493.0,86248.33814968773,43124.16907484386
2021-06-27,56886.0,85198.75480833605,42599.37740416802
2021-06-28,56467.0,84252.51466740224,42126.25733370112
2021-06-29,55608.0,83231.07833628014,41615.53916814007
2021-06-30,55260.0,82181.10180287324,41090.55090143662
2021-07-01,55355.0,81143.9165575478,40571.9582787739
2021-07-02,54384.0,80143.39576686316,40071.69788343158
2021-07-03,53758.0,79189.45552466219,39594.727762331095
2021-07-04,54290.0,78381.12638089355,39190.563190446774
2021-07-05,55110.0,77831.73085687052,38915.86542843526
2021-07-06,55563.0,77348.5480464436,38674.2740232218
2021-07-07,54953.0,76881.74204120583,38440.87102060291
2021-07-08,55084.0,76246.11383690897,38123.05691845449
2021-07-09,55294.0,75411.10567020482,37705.55283510241
2021-07-10,55050.0,74383.43265149415,37191.716325747075
2021-07-11,55937.0,73272.69605163344,36636.34802581672
2021-07-12,56716.0,72269.36020970835,36134.680104854175
2021-07-13,56419.0,71436.64363971472,35718.32181985736
2021-07-14,56570.0,70869.34959577714,35434.67479788857
2021-07-15,56214.0,70422.55382639272,35211.27691319636
2021-07-16,56451.0,70062.54276627858,35031.27138313929
2021-07-17,56906.0,69724.94203156597,34862.47101578298
2021-07-18,56456.0,69423.88414362916,34711.94207181458
2021-07-19,55474.0,69246.14591613322,34623.07295806661
2021-07-20,67950.0,69596.25021862325,34798.12510931162
2021-07-21,67908.0,70231.67300758537,35115.836503792685
2021-07-22,68247.0,71008.91508549282,35504.45754274641
2021-07-23,67306.0,71748.20693072128,35874.10346536064
2021-07-24,69463.0,72375.95137288168,36187.97568644084
2021-07-25,69693.0,72814.33622923131,36407.168114615655
2021-07-26,70306.0,72915.53706591517,36457.76853295758
2021-07-27,59428.0,73158.23024926554,36579.11512463277
2021-07-28,60999.0,73497.91891436694,36748.95945718347
2021-07-29,63003.0,73948.17963634965,36974.08981817483
2021-07-30,64786.0,74402.29630972793,37201.148154863964
2021-07-31,64434.0,74887.92017893532,37443.96008946766
2021-08-01,64261.0,75358.46026389569,37679.23013194784
2021-08-02,64630.0,75784.51832977051,37892.259164885254
2021-08-03,65092.0,76195.03958535213,38097.51979267607
2021-08-04,65437.0,76599.08998764398,38299.54499382199
2021-08-05,65586.0,77047.45620099665,38523.72810049832
2021-08-06,66635.0,77550.46130743307,38775.230653716535
2021-08-07,66353.0,78131.93653382115,39065.968266910575
2021-08-08,66723.0,78695.01976085847,39347.509880429236
2021-08-09,67147.0,79169.41290441279,39584.706452206396
2021-08-10,68313.0,79620.61142003792,39810.30571001896
2021-08-11,67691.0,80048.83099113851,40024.41549556926
2021-08-12,66995.0,80486.82870423394,40243.41435211697
2021-08-13,67719.0,80995.66536715871,40497.832683579356
2021-08-14,67798.0,81586.94214436728,40793.47107218364
2021-08-15,67575.0,82153.10025985722,41076.55012992861
2021-08-16,68374.0,82658.97921624944,41329.48960812472
2021-08-17,67579.0,82723.35882087037,41361.67941043519
2021-08-18,68422.0,82524.54295046559,41262.271475232796
2021-08-19,68759.0,82210.57525407853,41105.287627039266
2021-08-20,69088.0,82013.56295182204,41006.78147591102
2021-08-21,69188.0,81953.69214493375,40976.84607246688
2021-08-22,69478.0,82055.42922270497,41027.71461135249
2021-08-23,69828.0,82535.75112393183,41267.87556196591
2021-08-24,70179.0,82946.01317257978,41473.00658628989
2021-08-25,70687.0,83297.8346671957,41648.91733359785
2021-08-26,70772.0,83559.91438685598,41779.95719342799
2021-08-27,70638.0,83881.9419895278,41940.9709947639
2021-08-28,70368.0,84169.95432895518,42084.97716447759
2021-08-29,69657.0,84364.93951882629,42182.46975941314
